date,year,month,month_name,market,region,market_type,lat,lon,commodity,unit,price_zmw_kg,volume_kg,quality,season,rainfall_index,inflation_index,price_trend,pct_change_mom,price_lag1,price_lag2,price_lag3,rolling_avg_3m,fra_active,shock_event,source,verified
2014-01-01,2014,1,January,Lusaka,Lusaka,urban,-15.4167,28.2833,Maize,ZMW/kg,1.64,7778,Grade B,Wet/Lean,0.98,0.62,stable,0.0,1.64,1.64,1.64,1.64,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Lusaka,Lusaka,urban,-15.4167,28.2833,Tomatoes,ZMW/kg,3.5,2296,Grade A,Wet/Lean,1.12,0.62,stable,0.0,3.5,3.5,3.5,3.5,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Lusaka,Lusaka,urban,-15.4167,28.2833,Beans,ZMW/kg,4.6,2121,Grade B,Wet/Lean,0.94,0.62,stable,0.0,4.6,4.6,4.6,4.6,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Lusaka,Lusaka,urban,-15.4167,28.2833,Groundnuts,ZMW/kg,5.28,1812,Grade B,Wet/Lean,1.11,0.62,stable,0.0,5.28,5.28,5.28,5.28,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Lusaka,Lusaka,urban,-15.4167,28.2833,Rice,ZMW/kg,5.03,3168,Grade B,Wet/Lean,0.91,0.62,stable,0.0,5.03,5.03,5.03,5.03,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Lusaka,Lusaka,urban,-15.4167,28.2833,Soybeans,ZMW/kg,3.5,4018,Grade B,Wet/Lean,1.07,0.62,stable,0.0,3.5,3.5,3.5,3.5,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Lusaka,Lusaka,urban,-15.4167,28.2833,Sweet Potatoes,ZMW/kg,2.2,1336,Grade A,Wet/Lean,0.94,0.62,stable,0.0,2.2,2.2,2.2,2.2,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Lusaka,Lusaka,urban,-15.4167,28.2833,Cassava,ZMW/kg,1.26,1897,Grade C,Wet/Lean,1.11,0.62,stable,0.0,1.26,1.26,1.26,1.26,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Lusaka,Lusaka,urban,-15.4167,28.2833,Onions,ZMW/kg,3.64,1955,Grade A,Wet/Lean,0.98,0.62,stable,0.0,3.64,3.64,3.64,3.64,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Lusaka,Lusaka,urban,-15.4167,28.2833,Cabbage,ZMW/kg,1.78,2432,Grade B,Wet/Lean,1.05,0.62,stable,0.0,1.78,1.78,1.78,1.78,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kabwe,Central,urban,-14.4469,28.4464,Maize,ZMW/kg,1.69,2901,Grade C,Wet/Lean,1.14,0.62,stable,0.0,1.69,1.69,1.69,1.69,1,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kabwe,Central,urban,-14.4469,28.4464,Tomatoes,ZMW/kg,3.45,929,Grade A,Wet/Lean,1.02,0.62,stable,0.0,3.45,3.45,3.45,3.45,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kabwe,Central,urban,-14.4469,28.4464,Beans,ZMW/kg,4.5,1189,Grade B,Wet/Lean,0.96,0.62,stable,0.0,4.5,4.5,4.5,4.5,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kabwe,Central,urban,-14.4469,28.4464,Groundnuts,ZMW/kg,5.52,901,Grade B,Wet/Lean,1.13,0.62,stable,0.0,5.52,5.52,5.52,5.52,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kabwe,Central,urban,-14.4469,28.4464,Rice,ZMW/kg,5.07,1221,Grade C,Wet/Lean,0.95,0.62,stable,0.0,5.07,5.07,5.07,5.07,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kabwe,Central,urban,-14.4469,28.4464,Soybeans,ZMW/kg,3.36,1430,Grade C,Wet/Lean,1.07,0.62,stable,0.0,3.36,3.36,3.36,3.36,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kabwe,Central,urban,-14.4469,28.4464,Sweet Potatoes,ZMW/kg,2.25,908,Grade A,Wet/Lean,1.11,0.62,stable,0.0,2.25,2.25,2.25,2.25,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kabwe,Central,urban,-14.4469,28.4464,Cassava,ZMW/kg,1.21,1346,Grade B,Wet/Lean,0.96,0.62,stable,0.0,1.21,1.21,1.21,1.21,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kabwe,Central,urban,-14.4469,28.4464,Onions,ZMW/kg,3.63,823,Grade B,Wet/Lean,0.98,0.62,stable,0.0,3.63,3.63,3.63,3.63,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kabwe,Central,urban,-14.4469,28.4464,Cabbage,ZMW/kg,1.83,1253,Grade B,Wet/Lean,1.16,0.62,stable,0.0,1.83,1.83,1.83,1.83,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Ndola,Copperbelt,urban,-12.9587,28.6366,Maize,ZMW/kg,1.61,5376,Grade B,Wet/Lean,0.92,0.62,stable,0.0,1.61,1.61,1.61,1.61,1,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Ndola,Copperbelt,urban,-12.9587,28.6366,Tomatoes,ZMW/kg,4.15,1503,Grade A,Wet/Lean,0.89,0.62,stable,0.0,4.15,4.15,4.15,4.15,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Ndola,Copperbelt,urban,-12.9587,28.6366,Beans,ZMW/kg,4.37,1717,Grade C,Wet/Lean,1.13,0.62,stable,0.0,4.37,4.37,4.37,4.37,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Ndola,Copperbelt,urban,-12.9587,28.6366,Groundnuts,ZMW/kg,5.56,1556,Grade B,Wet/Lean,0.82,0.62,stable,0.0,5.56,5.56,5.56,5.56,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Ndola,Copperbelt,urban,-12.9587,28.6366,Rice,ZMW/kg,5.05,1772,Grade C,Wet/Lean,0.95,0.62,stable,0.0,5.05,5.05,5.05,5.05,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Ndola,Copperbelt,urban,-12.9587,28.6366,Soybeans,ZMW/kg,3.59,3154,Grade C,Wet/Lean,1.14,0.62,stable,0.0,3.59,3.59,3.59,3.59,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Ndola,Copperbelt,urban,-12.9587,28.6366,Sweet Potatoes,ZMW/kg,2.31,1341,Grade B,Wet/Lean,1.02,0.62,stable,0.0,2.31,2.31,2.31,2.31,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Ndola,Copperbelt,urban,-12.9587,28.6366,Cassava,ZMW/kg,1.26,1647,Grade C,Wet/Lean,0.96,0.62,stable,0.0,1.26,1.26,1.26,1.26,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Ndola,Copperbelt,urban,-12.9587,28.6366,Onions,ZMW/kg,3.2,1145,Grade A,Wet/Lean,1.04,0.62,stable,0.0,3.2,3.2,3.2,3.2,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Ndola,Copperbelt,urban,-12.9587,28.6366,Cabbage,ZMW/kg,1.82,1367,Grade B,Wet/Lean,0.98,0.62,stable,0.0,1.82,1.82,1.82,1.82,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kitwe,Copperbelt,urban,-12.8024,28.2132,Maize,ZMW/kg,1.56,4965,Grade C,Wet/Lean,1.17,0.62,stable,0.0,1.56,1.56,1.56,1.56,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kitwe,Copperbelt,urban,-12.8024,28.2132,Tomatoes,ZMW/kg,2.88,1160,Grade A,Wet/Lean,1.0,0.62,stable,0.0,2.88,2.88,2.88,2.88,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kitwe,Copperbelt,urban,-12.8024,28.2132,Beans,ZMW/kg,4.62,1117,Grade B,Wet/Lean,1.3,0.62,stable,0.0,4.62,4.62,4.62,4.62,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kitwe,Copperbelt,urban,-12.8024,28.2132,Groundnuts,ZMW/kg,5.62,983,Grade B,Wet/Lean,1.04,0.62,stable,0.0,5.62,5.62,5.62,5.62,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kitwe,Copperbelt,urban,-12.8024,28.2132,Rice,ZMW/kg,5.22,1601,Grade C,Wet/Lean,1.09,0.62,stable,0.0,5.22,5.22,5.22,5.22,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kitwe,Copperbelt,urban,-12.8024,28.2132,Soybeans,ZMW/kg,3.72,2432,Grade B,Wet/Lean,0.83,0.62,stable,0.0,3.72,3.72,3.72,3.72,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kitwe,Copperbelt,urban,-12.8024,28.2132,Sweet Potatoes,ZMW/kg,2.03,739,Grade B,Wet/Lean,0.93,0.62,stable,0.0,2.03,2.03,2.03,2.03,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kitwe,Copperbelt,urban,-12.8024,28.2132,Cassava,ZMW/kg,1.2,1630,Grade A,Wet/Lean,1.01,0.62,stable,0.0,1.2,1.2,1.2,1.2,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kitwe,Copperbelt,urban,-12.8024,28.2132,Onions,ZMW/kg,3.6,1364,Grade A,Wet/Lean,1.19,0.62,stable,0.0,3.6,3.6,3.6,3.6,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Kitwe,Copperbelt,urban,-12.8024,28.2132,Cabbage,ZMW/kg,1.68,1545,Grade C,Wet/Lean,0.96,0.62,stable,0.0,1.68,1.68,1.68,1.68,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Chipata,Eastern,rural,-13.6333,32.65,Maize,ZMW/kg,1.45,5890,Grade B,Wet/Lean,0.85,0.62,stable,0.0,1.45,1.45,1.45,1.45,1,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Chipata,Eastern,rural,-13.6333,32.65,Tomatoes,ZMW/kg,2.73,2181,Grade C,Wet/Lean,0.98,0.62,stable,0.0,2.73,2.73,2.73,2.73,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Chipata,Eastern,rural,-13.6333,32.65,Beans,ZMW/kg,3.78,2662,Grade C,Wet/Lean,1.14,0.62,stable,0.0,3.78,3.78,3.78,3.78,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Chipata,Eastern,rural,-13.6333,32.65,Groundnuts,ZMW/kg,4.93,2040,Grade A,Wet/Lean,1.15,0.62,stable,0.0,4.93,4.93,4.93,4.93,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Chipata,Eastern,rural,-13.6333,32.65,Rice,ZMW/kg,5.01,1024,Grade A,Wet/Lean,1.1,0.62,stable,0.0,5.01,5.01,5.01,5.01,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Chipata,Eastern,rural,-13.6333,32.65,Soybeans,ZMW/kg,3.07,3748,Grade C,Wet/Lean,0.85,0.62,stable,0.0,3.07,3.07,3.07,3.07,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Chipata,Eastern,rural,-13.6333,32.65,Sweet Potatoes,ZMW/kg,1.91,1250,Grade B,Wet/Lean,0.89,0.62,stable,0.0,1.91,1.91,1.91,1.91,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Chipata,Eastern,rural,-13.6333,32.65,Cassava,ZMW/kg,1.02,1562,Grade C,Wet/Lean,1.15,0.62,stable,0.0,1.02,1.02,1.02,1.02,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Chipata,Eastern,rural,-13.6333,32.65,Onions,ZMW/kg,3.09,784,Grade B,Wet/Lean,1.02,0.62,stable,0.0,3.09,3.09,3.09,3.09,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Chipata,Eastern,rural,-13.6333,32.65,Cabbage,ZMW/kg,1.58,1278,Grade C,Wet/Lean,0.97,0.62,stable,0.0,1.58,1.58,1.58,1.58,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Livingstone,Southern,urban,-17.8617,25.858,Maize,ZMW/kg,1.7,3104,Grade A,Wet/Lean,1.01,0.62,stable,0.0,1.7,1.7,1.7,1.7,1,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Livingstone,Southern,urban,-17.8617,25.858,Tomatoes,ZMW/kg,3.11,1269,Grade C,Wet/Lean,1.06,0.62,stable,0.0,3.11,3.11,3.11,3.11,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Livingstone,Southern,urban,-17.8617,25.858,Beans,ZMW/kg,4.53,818,Grade C,Wet/Lean,1.09,0.62,stable,0.0,4.53,4.53,4.53,4.53,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Livingstone,Southern,urban,-17.8617,25.858,Groundnuts,ZMW/kg,5.69,1133,Grade C,Wet/Lean,0.99,0.62,stable,0.0,5.69,5.69,5.69,5.69,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Livingstone,Southern,urban,-17.8617,25.858,Rice,ZMW/kg,5.03,1710,Grade B,Wet/Lean,0.82,0.62,stable,0.0,5.03,5.03,5.03,5.03,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Livingstone,Southern,urban,-17.8617,25.858,Soybeans,ZMW/kg,3.48,2082,Grade C,Wet/Lean,0.85,0.62,stable,0.0,3.48,3.48,3.48,3.48,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Livingstone,Southern,urban,-17.8617,25.858,Sweet Potatoes,ZMW/kg,2.06,761,Grade C,Wet/Lean,1.02,0.62,stable,0.0,2.06,2.06,2.06,2.06,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Livingstone,Southern,urban,-17.8617,25.858,Cassava,ZMW/kg,1.23,1242,Grade C,Wet/Lean,0.86,0.62,stable,0.0,1.23,1.23,1.23,1.23,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Livingstone,Southern,urban,-17.8617,25.858,Onions,ZMW/kg,4.06,911,Grade B,Wet/Lean,1.13,0.62,stable,0.0,4.06,4.06,4.06,4.06,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Livingstone,Southern,urban,-17.8617,25.858,Cabbage,ZMW/kg,1.83,1153,Grade C,Wet/Lean,1.06,0.62,stable,0.0,1.83,1.83,1.83,1.83,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Mongu,Western,remote,-15.255,23.1267,Maize,ZMW/kg,1.75,2638,Grade B,Wet/Lean,1.46,0.62,stable,0.0,1.75,1.75,1.75,1.75,1,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Mongu,Western,remote,-15.255,23.1267,Tomatoes,ZMW/kg,3.88,477,Grade B,Wet/Lean,1.02,0.62,stable,0.0,3.88,3.88,3.88,3.88,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Mongu,Western,remote,-15.255,23.1267,Beans,ZMW/kg,5.13,622,Grade B,Wet/Lean,0.9,0.62,stable,0.0,5.13,5.13,5.13,5.13,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Mongu,Western,remote,-15.255,23.1267,Groundnuts,ZMW/kg,5.69,1154,Grade A,Wet/Lean,1.04,0.62,stable,0.0,5.69,5.69,5.69,5.69,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Mongu,Western,remote,-15.255,23.1267,Rice,ZMW/kg,5.75,2746,Grade C,Wet/Lean,0.96,0.62,stable,0.0,5.75,5.75,5.75,5.75,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Mongu,Western,remote,-15.255,23.1267,Soybeans,ZMW/kg,3.94,527,Grade A,Wet/Lean,0.85,0.62,stable,0.0,3.94,3.94,3.94,3.94,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Mongu,Western,remote,-15.255,23.1267,Sweet Potatoes,ZMW/kg,2.6,940,Grade C,Wet/Lean,1.22,0.62,stable,0.0,2.6,2.6,2.6,2.6,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Mongu,Western,remote,-15.255,23.1267,Cassava,ZMW/kg,1.03,2770,Grade C,Wet/Lean,1.05,0.62,stable,0.0,1.03,1.03,1.03,1.03,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
2014-01-01,2014,1,January,Mongu,Western,remote,-15.255,23.1267,Onions,ZMW/kg,4.17,331,Grade A,Wet/Lean,0.8,0.62,stable,0.0,4.17,4.17,4.17,4.17,0,none,FarmConnect/FEWS-NET/CSO-Zambia,1
